日付,時刻,気温,降水量,風向,風速,日照時間
20200912,1,24.1,0.0,南,0.7,-
20200912,2,23.3,1.0,南東,0.7,-
20200912,3,23.8,0.0,西北西,0.9,-
20200912,4,23.7,1.0,北,0.3,0.0
20200912,5,23.7,2.0,北西,1.0,0.0
20200912,6,23.5,6.0,東北東,3.4,0.0
20200912,7,23.7,1.0,東,1.7,0.0
20200912,8,23.7,11.5,東,3.7,0.0
20200912,9,24.2,5.5,東南東,5.3,0.0
20200912,10,25.5,0.0,東南東,2.1,0.0
20200912,11,26.5,0.0,東南東,3.9,0.0
20200912,12,27.7,0.0,南東,4.2,0.1
20200912,13,28.7,0.0,南南東,1.9,0.2
20200912,14,27.9,0.0,東南東,3.0,0.0
20200912,15,27.0,0.0,西北西,6.5,0.2
20200912,16,25.8,0.0,西北西,6.8,0.0
20200912,17,25.4,0.0,西北西,9.8,0.0
20200912,18,24.9,0.0,西北西,7.7,0.0
20200912,19,23.9,1.0,南西,2.3,0.0
20200912,20,24.7,0.0,西北西,5.9,0.0
20200912,21,24.8,0.0,西北西,7.7,-
20200912,22,24.7,0.0,北西,7.0,-
20200912,23,24.0,0.5,北西,6.2,-
20200912,24,24.1,0.0,西北西,6.5,-
20200913,1,22.8,0.0,西南西,4.1,-
20200913,2,22.7,0.0,西南西,4.3,-
20200913,3,22.6,0.0,西南西,4.0,-
20200913,4,22.3,0.0,西,3.0,0.0
20200913,5,22.2,0.0,西,2.4,0.0
20200913,6,23.3,0.0,北西,6.1,0.0
20200913,7,23.2,0.0,北西,4.3,0.0
20200913,8,23.3,0.0,北西,5.4,0.0
20200913,9,23.6,0.0,北西,4.6,0.0
20200913,10,23.9,0.0,北西,6.2,0.1
20200913,11,24.6,0.0,北西,4.5,0.4
20200913,12,25.5,0.0,北西,4.9,0.5
20200913,13,25.3,0.0,西北西,4.9,0.6
20200913,14,25.6,0.0,北西,5.4,0.8
20200913,15,-,-,-,-,-
20200913,16,-,-,-,-,-
20200913,17,-,-,-,-,-
20200913,18,-,-,-,-,-
20200913,19,-,-,-,-,-
20200913,20,-,-,-,-,-
20200913,21,-,-,-,-,-
20200913,22,-,-,-,-,-
20200913,23,-,-,-,-,-
20200913,24,-,-,-,-,-
