日付,時刻,気温,降水量,風向,風速,日照時間
20200913,1,22.3,0.0,静穏,0.2,-
20200913,2,21.9,0.0,静穏,0.1,-
20200913,3,21.7,0.0,西,0.6,-
20200913,4,21.3,0.0,南南東,0.5,0.0
20200913,5,21.1,0.0,東,0.6,0.0
20200913,6,20.5,0.0,静穏,0.2,0.0
20200913,7,21.3,0.0,南西,0.8,0.4
20200913,8,23.0,0.0,東,0.6,0.7
20200913,9,24.0,0.0,北,2.0,0.1
20200913,10,26.3,0.0,北北東,3.2,0.5
20200913,11,25.1,0.0,北,2.3,0.5
20200913,12,25.1,0.0,北北東,2.6,0.1
20200913,13,25.9,0.0,北北東,3.5,0.5
20200913,14,27.8,0.0,北,2.7,0.9
20200913,15,27.5,0.0,北,2.3,0.9
20200913,16,26.6,0.0,北北東,2.9,1.0
20200913,17,25.4,0.0,北,2.5,0.9
20200913,18,23.8,0.0,北,2.9,0.5
20200913,19,22.6,0.0,北,2.1,0.0
20200913,20,22.4,0.0,北北東,1.7,0.0
20200913,21,21.4,0.0,北北東,1.8,-
20200913,22,20.7,0.0,北北東,1.4,-
20200913,23,20.2,0.0,北東,1.4,-
20200913,24,19.3,0.0,北西,0.3,-
20200914,1,18.8,0.0,南西,0.5,-
20200914,2,18.7,0.0,南西,0.3,-
20200914,3,18.4,0.0,静穏,0.0,-
20200914,4,18.0,0.0,西,0.4,0.0
20200914,5,17.9,0.0,南南東,0.5,0.0
20200914,6,17.8,0.0,南,1.1,0.0
20200914,7,18.0,0.0,西,0.9,0.0
20200914,8,19.7,0.0,東,0.7,0.6
20200914,9,21.2,0.0,南東,0.8,0.3
20200914,10,23.1,0.0,北北西,1.0,0.7
20200914,11,25.9,0.0,北北東,1.7,0.9
20200914,12,26.7,0.0,北北東,2.3,0.8
20200914,13,27.8,0.0,北北東,2.1,1.0
20200914,14,27.8,0.0,北,2.5,1.0
20200914,15,27.6,0.0,北北東,3.1,1.0
20200914,16,26.6,0.0,北北東,2.4,1.0
20200914,17,25.2,0.0,北北東,1.9,1.0
20200914,18,23.0,0.0,北北東,1.1,1.0
20200914,19,21.5,0.0,北北東,0.9,0.0
20200914,20,20.8,0.0,西北西,0.8,0.0
20200914,21,20.4,0.0,西,0.7,-
20200914,22,20.0,0.0,東,0.5,-
20200914,23,-,-,-,-,-
20200914,24,-,-,-,-,-
