日付,時刻,気温,降水量,風向,風速,日照時間
20200913,1,23.0,0.0,西南西,0.8,-
20200913,2,23.0,0.0,北東,0.6,-
20200913,3,23.1,0.0,東南東,1.1,-
20200913,4,22.8,0.5,東,1.1,0.0
20200913,5,22.6,0.0,西北西,0.7,0.0
20200913,6,22.4,0.0,東,0.9,0.0
20200913,7,22.6,0.0,南西,1.0,0.1
20200913,8,23.0,0.0,南西,1.0,0.1
20200913,9,23.4,0.0,北西,1.3,0.2
20200913,10,24.1,0.0,北北西,1.7,0.1
20200913,11,26.0,0.0,北北西,1.7,0.7
20200913,12,26.4,0.0,南西,1.5,1.0
20200913,13,27.0,0.0,北北西,1.7,0.6
20200913,14,26.0,0.0,北,1.7,0.7
20200913,15,27.5,0.0,北北東,1.5,1.0
20200913,16,26.8,0.0,北東,1.6,1.0
20200913,17,25.5,0.0,北北東,1.5,1.0
20200913,18,24.0,0.0,北北東,1.8,0.3
20200913,19,23.5,0.0,北,1.9,0.0
20200913,20,22.9,0.0,北北東,2.0,0.0
20200913,21,21.6,0.0,南南西,0.4,-
20200913,22,20.9,0.0,南,0.4,-
20200913,23,21.1,0.0,南西,1.1,-
20200913,24,19.3,0.0,南南西,1.3,-
20200914,1,19.1,0.0,南南西,0.3,-
20200914,2,20.2,0.0,南南東,0.4,-
20200914,3,18.6,0.0,南南西,0.7,-
20200914,4,18.2,0.0,南南西,1.2,0.0
20200914,5,18.2,0.0,南西,2.0,0.0
20200914,6,18.2,0.0,南南西,1.4,0.0
20200914,7,18.9,0.0,南西,1.3,0.0
20200914,8,21.3,0.0,南西,0.7,0.3
20200914,9,22.8,0.0,北北東,0.5,0.3
20200914,10,24.0,0.0,東南東,1.0,0.7
20200914,11,24.9,0.0,北北東,1.8,0.5
20200914,12,25.2,0.0,北北東,2.2,0.6
20200914,13,26.2,0.0,北北東,2.7,1.0
20200914,14,26.9,0.0,北北東,2.4,1.0
20200914,15,-,-,-,-,-
20200914,16,-,-,-,-,-
20200914,17,-,-,-,-,-
20200914,18,-,-,-,-,-
20200914,19,-,-,-,-,-
20200914,20,-,-,-,-,-
20200914,21,-,-,-,-,-
20200914,22,-,-,-,-,-
20200914,23,-,-,-,-,-
20200914,24,-,-,-,-,-
