日付,時刻,気温,降水量,風向,風速
20200912,1,24.6,8.0,南南東,3.3
20200912,2,24.4,12.5,東南東,4.2
20200912,3,24.5,0.0,東,3.1
20200912,4,24.4,0.0,東,3.2
20200912,5,24.3,1.5,東北東,2.4
20200912,6,24.3,3.5,東北東,4.8
20200912,7,24.8,2.5,東南東,7.0
20200912,8,24.8,4.0,東,4.5
20200912,9,24.5,2.5,東,6.3
20200912,10,24.7,0.0,東南東,5.4
20200912,11,26.3,0.5,南東,4.3
20200912,12,27.1,0.0,南南東,5.1
20200912,13,27.0,0.0,南東,7.9
20200912,14,27.9,0.0,南東,7.4
20200912,15,27.8,0.0,南東,6.0
20200912,16,27.4,0.0,南東,4.8
20200912,17,27.3,0.0,北西,2.7
20200912,18,25.6,0.0,北西,5.4
20200912,19,24.9,0.0,西北西,4.5
20200912,20,24.8,0.0,西北西,3.4
20200912,21,24.6,0.0,西北西,3.8
20200912,22,24.2,0.0,北北西,2.4
20200912,23,24.2,0.0,西北西,1.5
20200912,24,23.6,0.0,北西,2.2
20200913,1,23.3,0.0,西,1.5
20200913,2,23.3,0.0,西北西,2.8
20200913,3,23.2,0.0,西,2.5
20200913,4,23.2,0.0,西,2.8
20200913,5,22.8,0.0,西,2.3
20200913,6,22.9,0.0,西,3.7
20200913,7,24.1,0.0,西,1.8
20200913,8,24.6,0.0,西北西,4.5
20200913,9,24.8,0.0,北西,3.7
20200913,10,26.1,0.0,北西,5.3
20200913,11,26.6,0.0,北西,4.7
20200913,12,26.5,0.0,北北西,4.2
20200913,13,27.3,0.0,北北西,4.9
20200913,14,27.2,0.0,西北西,4.5
20200913,15,27.8,0.0,北西,4.0
20200913,16,27.1,0.0,北西,5.2
20200913,17,26.1,0.0,北西,5.0
20200913,18,24.5,0.0,北北西,3.3
20200913,19,23.4,0.0,北北西,2.3
20200913,20,22.5,0.0,北北西,3.7
20200913,21,22.0,0.0,北,3.1
20200913,22,21.9,0.0,北西,2.4
20200913,23,20.9,0.0,南西,2.4
20200913,24,19.8,0.0,南西,3.1
