日付,時刻,気温,降水量,風向,風速,日照時間
20200913,1,23.3,0.0,南南西,0.9,-
20200913,2,23.0,0.0,西南西,1.2,-
20200913,3,22.9,0.0,南西,0.8,-
20200913,4,23.1,0.0,西,1.4,0.0
20200913,5,22.6,0.0,南南西,0.4,0.0
20200913,6,22.4,0.0,西南西,0.6,0.0
20200913,7,22.0,0.0,南西,1.0,0.0
20200913,8,24.0,0.0,西,1.2,0.6
20200913,9,25.3,0.0,西,3.4,0.3
20200913,10,26.4,0.0,西,3.3,0.4
20200913,11,27.0,0.0,西北西,3.0,0.7
20200913,12,27.0,0.0,北,4.1,0.3
20200913,13,28.0,0.0,北,3.0,0.3
20200913,14,27.6,0.0,北北東,3.0,0.5
20200913,15,27.3,0.0,北北東,2.8,0.5
20200913,16,27.1,0.0,北北東,3.3,0.7
20200913,17,26.6,0.0,北北東,2.7,0.8
20200913,18,26.2,0.0,北北西,2.8,0.8
20200913,19,25.4,0.0,北,2.0,0.0
20200913,20,24.5,0.0,北北西,1.9,0.0
20200913,21,23.4,0.0,西,0.9,-
20200913,22,22.4,0.0,南南西,0.4,-
20200913,23,21.7,0.0,西南西,1.5,-
20200913,24,21.8,0.0,西,1.1,-
20200914,1,20.6,0.0,南南西,2.2,-
20200914,2,20.2,0.0,南南西,1.0,-
20200914,3,19.7,0.0,南南東,1.7,-
20200914,4,19.9,0.0,南西,1.4,0.0
20200914,5,19.5,0.0,南,1.2,0.0
20200914,6,19.6,0.0,南西,1.0,0.0
20200914,7,-,-,-,-,-
20200914,8,-,-,-,-,-
20200914,9,-,-,-,-,-
20200914,10,-,-,-,-,-
20200914,11,-,-,-,-,-
20200914,12,-,-,-,-,-
20200914,13,-,-,-,-,-
20200914,14,-,-,-,-,-
20200914,15,-,-,-,-,-
20200914,16,-,-,-,-,-
20200914,17,-,-,-,-,-
20200914,18,-,-,-,-,-
20200914,19,-,-,-,-,-
20200914,20,-,-,-,-,-
20200914,21,-,-,-,-,-
20200914,22,-,-,-,-,-
20200914,23,-,-,-,-,-
20200914,24,-,-,-,-,-
