日付,時刻,気温,降水量,風向,風速,日照時間
20200912,1,21.1,0.0,東,0.6,-
20200912,2,21.0,1.0,南西,1.7,-
20200912,3,21.1,0.0,南西,0.8,-
20200912,4,21.3,0.5,静穏,0.2,0.0
20200912,5,21.2,3.0,南西,1.5,0.0
20200912,6,21.5,5.0,西北西,3.4,0.0
20200912,7,21.0,2.0,東,1.1,0.0
20200912,8,20.9,2.5,南西,0.6,0.0
20200912,9,21.5,2.0,西,1.3,0.0
20200912,10,22.6,3.5,西南西,1.4,0.0
20200912,11,24.7,0.0,南西,3.3,0.2
20200912,12,24.9,0.0,南,2.9,0.0
20200912,13,24.6,0.0,西南西,0.9,0.0
20200912,14,25.9,0.0,西,1.5,0.1
20200912,15,27.5,0.0,南西,2.0,0.4
20200912,16,27.3,0.0,南西,3.6,0.7
20200912,17,26.4,0.0,西南西,3.0,0.9
20200912,18,23.7,0.0,南西,2.0,0.0
20200912,19,22.8,0.0,南西,1.4,0.0
20200912,20,22.2,0.0,西南西,2.5,0.0
20200912,21,21.8,0.0,西南西,1.3,-
20200912,22,21.7,0.0,東,1.1,-
20200912,23,21.6,0.0,東北東,2.6,-
20200912,24,21.1,0.0,北東,2.5,-
20200913,1,20.6,0.0,東,2.5,-
20200913,2,20.2,0.0,南南西,0.9,-
20200913,3,20.2,0.0,南東,0.8,-
20200913,4,19.8,0.0,南,0.5,0.0
20200913,5,19.3,0.0,北東,1.4,0.0
20200913,6,19.8,0.0,北東,1.3,0.0
20200913,7,19.6,0.0,西,0.4,0.0
20200913,8,19.7,0.0,東北東,2.8,0.0
20200913,9,20.9,0.0,北東,2.1,0.0
20200913,10,21.0,0.0,北東,3.5,0.0
20200913,11,21.6,0.0,北東,2.8,0.0
20200913,12,21.9,0.0,東北東,1.9,0.0
20200913,13,24.1,0.0,北東,2.7,0.3
20200913,14,24.6,0.0,北東,3.5,0.5
20200913,15,23.7,0.0,北東,4.2,0.9
20200913,16,23.4,0.0,北北東,2.5,0.8
20200913,17,22.7,0.0,北北東,3.0,0.9
20200913,18,21.0,0.0,北東,2.6,0.6
20200913,19,20.4,0.0,東北東,2.6,0.0
20200913,20,20.1,0.0,東北東,3.8,0.0
20200913,21,-,-,-,-,-
20200913,22,-,-,-,-,-
20200913,23,-,-,-,-,-
20200913,24,-,-,-,-,-
